Model,BLEU_Score,ROUGE_Score,Perplexity
gpt2,0.0266785298043081,0.5714285714285714,8.841973304748535
gpt2-medium,0.022797230914240133,0.5714285714285714,10.183721542358398
openai-gpt,0.011103047724581823,0.2857142857142857,7.27646017074585
facebook/bart-large,0.035720185757984545,0.5714285714285714,17.9730167388916
microsoft/CodeGPT-small-py,0.05415315253510895,0.5714285714285714,8.39836311340332
