Model,BLEU_Score,ROUGE_Score,Perplexity,Topsis Score,Rank
gpt2,0.0266785298043081,0.5714285714285714,8.841973304748535,0.2759119262921659,3.0
gpt2-medium,0.0227972309142401,0.5714285714285714,10.183721542358398,0.25284189803419327,4.0
openai-gpt,0.0111030477245818,0.2857142857142857,7.27646017074585,0.2525574939814493,5.0
facebook/bart-large,0.0357201857579845,0.5714285714285714,17.9730167388916,0.6090569736768078,1.0
microsoft/CodeGPT-small-py,0.0541531525351089,0.5714285714285714,8.39836311340332,0.5613093973112998,2.0
